Date,Category,RefNo,Date,Withdrawal,Deposit,Balance
2023-01-30,Food,3.03E+11,2023-01-30,50,0,2249.41
2023-01-30,Food,3.4E+11,2023-01-30,85,0,2164.41
2023-01-30,Food,3.4E+11,2023-01-30,50,0,2114.41
2023-01-30,Food,3.4E+11,2023-01-30,90,0,2024.41
2023-01-30,Food,3.4E+11,2023-01-30,20,0,2004.41
2023-01-31,Food,3.03E+11,2023-01-31,28,0,1976.41
2023-01-31,Misc,3.4E+11,2023-01-31,125,0,1851.41
2023-01-31,Food,3.03E+11,2023-01-31,40,0,1811.41
2023-01-31,Misc,3.03E+11,2023-01-31,0,10000,11811.41
2023-01-31,Food,3.4E+11,2023-01-31,154.44,0,11656.97
2023-02-01,Food,3.03E+11,2023-02-01,30,0,11626.97
2023-02-01,Food,3.4E+11,2023-02-01,20,0,11606.97
2023-02-01,Food,3.03E+11,2023-02-01,80,0,11526.97
2023-02-02,Rent,3.03E+11,2023-02-02,5776,0,5750.97
2023-02-02,Food,3.4E+11,2023-02-02,20,0,5730.97
2023-02-02,Food,3.03E+11,2023-02-02,144.87,0,5586.1
2023-02-02,Food,3.4E+11,2023-02-02,40,0,5546.1
2023-02-02,Food,3.4E+11,2023-02-02,30,0,5516.1
2023-02-02,Misc,3.4E+11,2023-02-02,170,0,5346.1
2023-02-03,Food,3.03E+11,2023-02-03,28,0,5318.1
2023-02-03,Food,3.4E+11,2023-02-03,50,0,5268.1
2023-02-03,Misc,3.03E+11,2023-02-03,500,0,4768.1
2023-02-03,Misc,3.03E+11,2023-02-03,0,500,5268.1
2023-02-03,Food,3.4E+11,2023-02-03,17,0,5251.1
2023-02-03,Misc,3.4E+11,2023-02-03,190,0,5061.1
2023-02-03,Food,3.4E+11,2023-02-03,40,0,5021.1
2023-02-04,Misc,3.04E+11,2023-02-04,200,0,4821.1
2023-02-04,Food,3.4E+11,2023-02-04,30,0,4791.1
2023-02-04,Food,3.04E+11,2023-02-04,40,0,4751.1
2023-02-04,Misc,3.4E+11,2023-02-04,0,152,4903.1
2023-02-04,Misc,3.4E+11,2023-02-04,140,0,4763.1
2023-02-04,Food,3.4E+11,2023-02-04,30,0,4733.1
2023-02-04,Food,3.4E+11,2023-02-04,40,0,4693.1
2023-02-05,Food,3.4E+11,2023-02-05,40,0,4653.1
2023-02-05,Misc,3.4E+11,2023-02-05,180,0,4473.1
2023-02-06,Food,3.4E+11,2023-02-06,80,0,4393.1
2023-02-06,Food,3.4E+11,2023-02-06,100,0,4293.1
2023-02-06,Food,3.04E+11,2023-02-06,20,0,4273.1
